subfolder,file,dims,description
five_gau_clusters,data_five_gau.rds,5000 x 5,Full simulated dataset: 4 numeric features (x1-x4) + row ID. Original (unscaled) values.
five_gau_clusters,data_five_gau_with_clusts.rds,5000 x 6,Same as data_five_gau with a cluster label column (e.g. cluster1-cluster5) added.
five_gau_clusters,data_five_gau_with_labels.rds,5000 x 6,Scaled/normalised version of the full dataset with cluster labels. Used for projection and model fitting.
five_gau_clusters,data_five_gau_training.rds,3750 x 5,Training split (75%) of the scaled dataset without cluster labels.
five_gau_clusters,data_five_gau_test.rds,1250 x 5,Test split (25%) of the scaled dataset without cluster labels.
five_gau_clusters,tsne_data_five_gau_30.rds,5000 x 3,t-SNE 2D embedding (perplexity 30) of the full dataset. Columns: tSNE1 tSNE2 ID.
five_gau_clusters,tsne_data_five_gau_61.rds,3750 x 3,t-SNE 2D embedding (perplexity 61) on the training split.
five_gau_clusters,tsne_data_five_gau_71.rds,5000 x 3,t-SNE 2D embedding (perplexity 71) of the full dataset.
five_gau_clusters,umap_data_five_gau.rds,5000 x 3,UMAP 2D embedding of the full dataset. Columns: UMAP1 UMAP2 ID.
five_gau_clusters,umap_data_five_gau_predict.rds,1250 x 3,UMAP embedding predicted for the test split using the model trained on the training set.
five_gau_clusters,pacmap_data_five_gau.rds,5000 x 3,PaCMAP 2D embedding of the full dataset. Columns: PaCMAP1 PaCMAP2 ID.
five_gau_clusters,phate_data_five_gau.rds,5000 x 3,PHATE 2D embedding of the full dataset. Columns: PHATE1 PHATE2 ID.
five_gau_clusters,phate_data_with_hb_id_gau.rds,3750 x 3,PHATE embedding of the training split with hexbin IDs (hb_id) assigned to each point.
five_gau_clusters,trimap_data_five_gau.rds,5000 x 3,TriMAP 2D embedding of the full dataset. Columns: TriMAP1 TriMAP2 ID.
five_gau_clusters,tsne_gau_scaled.rds,5000 x 3,t-SNE embedding rescaled to [0-1] for hexbin-based model fitting.
five_gau_clusters,umap_gau_scaled.rds,5000 x 3,UMAP embedding rescaled to [0-1].
five_gau_clusters,pacmap_gau_scaled.rds,5000 x 3,PaCMAP embedding rescaled to [0-1].
five_gau_clusters,tsne_cluster1.rds,1000 x 2,t-SNE 2D coordinates for cluster 1 only. Columns: emb1 emb2.
five_gau_clusters,umap_cluster1.rds,1000 x 2,UMAP 2D coordinates for cluster 1 only.
five_gau_clusters,pacmap_cluster1.rds,1000 x 2,PaCMAP 2D coordinates for cluster 1 only.
five_gau_clusters,tsne_model.rds,74 x 5,Hexbin centroids in original 4D space representing the lifted t-SNE model. Columns: x1-x4 type.
five_gau_clusters,umap_model.rds,80 x 5,Hexbin centroids for the lifted UMAP model.
five_gau_clusters,pacmap_model.rds,69 x 6,Hexbin centroids for the lifted PaCMAP model. Includes hb_id column.
five_gau_clusters,tsne_model_mapping_data.rds,5000 x 3,Mapping of each original data point to its hexbin (hb_id) in the t-SNE embedding with original ID and neighbour point IDs (pts_ID).
five_gau_clusters,umap_model_mapping_data.rds,5000 x 3,Same mapping structure for UMAP.
five_gau_clusters,pacmap_model_mapping_data.rds,5000 x 3,Same mapping structure for PaCMAP.
five_gau_clusters,tsne_gau_proj_obj1.rds,list(4),Projection object for grand tour visualisation of the lifted t-SNE model: projected data model hexbin data 2-axis tour basis and unit circle.
five_gau_clusters,tsne_gau_proj_obj2.rds,list(4),Same as above with a 3-axis basis (alternative tour view).
five_gau_clusters,umap_gau_proj_obj1.rds,list(4),Projection object (2-axis basis) for UMAP grand tour.
five_gau_clusters,umap_gau_proj_obj2.rds,list(4),Projection object (3-axis basis) for UMAP grand tour.
five_gau_clusters,pacmap_gau_proj_obj1.rds,list(4),Projection object (2-axis basis) for PaCMAP grand tour.
five_gau_clusters,pacmap_gau_proj_obj2.rds,list(4),Projection object (3-axis basis) for PaCMAP grand tour.
five_gau_clusters,tsne_wireframe.rds,150 x 3,Edge list connecting adjacent hexbin centroids in the lifted t-SNE model for wireframe display. Columns: from to distance.
five_gau_clusters,umap_wireframe.rds,176 x 3,Wireframe edge list for the UMAP model.
five_gau_clusters,pacmap_wireframe.rds,141 x 3,Wireframe edge list for the PaCMAP model.
five_gau_clusters,tr_from_to_df_gau1.rds,222 x 8,Hexbin-to-hexbin transition counts and 2D coordinates for the t-SNE (perplexity 30) embedding. Used for flow visualisations.
five_gau_clusters,tr_from_to_df_gau1_umap.rds,213 x 8,Same structure for UMAP.
five_gau_clusters,tr_from_to_df_gau1_pacmap.rds,220 x 8,Same structure for PaCMAP.
five_gau_clusters,df_bin_gau_phate.rds,62 x 5,Mean original-space coordinates (x1-x4) per hexbin cell in the PHATE embedding.
five_gau_clusters,df_bin_centroids_gau_phate.rds,62 x 5,2D centroid positions and normalised point counts per hexbin cell in the PHATE embedding. Used for overlaying the lifted model on the PHATE layout.
mnist,mnist_digit_1.rds,7877 x 785,Raw pixel values for all digit-1 images. 784 columns (px1-px784) representing flattened 28x28 grayscale pixels plus a label column.
mnist,mnist_10_pcs_of_digit_1.rds,7877 x 10,Top 10 principal components of the digit-1 images (PC1-PC10). Used as the high-dimensional input for all NLDR embeddings.
mnist,mnist_tsne30.rds,7877 x 3,t-SNE 2D embedding (perplexity 30). Columns: emb1 emb2 ID.
mnist,mnist_tsne40.rds,7877 x 3,t-SNE 2D embedding (perplexity 40). Columns: tSNE1 tSNE2 ID.
mnist,mnist_tsne89.rds,7877 x 3,t-SNE 2D embedding (perplexity 89). Columns: emb1 emb2 ID.
mnist,mnist_umap.rds,7877 x 3,UMAP 2D embedding. Columns: emb1 emb2 ID.
mnist,mnist_pacmap.rds,7877 x 3,PaCMAP 2D embedding. Columns: emb1 emb2 ID.
mnist,mnist_phate.rds,7877 x 3,PHATE 2D embedding. Columns: emb1 emb2 ID.
mnist,mnist_trimap.rds,7877 x 3,TriMAP 2D embedding. Columns: emb1 emb2 ID.
mnist,mnist_tsne_minst_scaled.rds,7877 x 4,Scaled t-SNE embedding (perplexity 40 rescaled to [0-1]) with cluster labels. Primary embedding for model fitting. Columns: emb1 emb2 ID cluster.
mnist,mnist_error_df.rds,7877 x 48,Per-point error data for the t-SNE (perplexity 40) embedding. Contains original 10D coordinates (x1-x10) lifted model predictions (model_high_d_x1-x10) per-dimension squared and absolute errors row-wise total errors 2D embedding coordinates and cluster labels.
mnist,error_mnist_tsne.rds,80 x 11,Hexbin-level goodness-of-fit error summary for t-SNE (perplexity 30) across grid sizes. Columns: Error HBE b1 b2 b m a1 a2 d_bar method n_bar.
mnist,error_mnist_tsne2.rds,70 x 11,Same structure for t-SNE (perplexity 40). Method label: tSNE2.
mnist,error_mnist_umap.rds,75 x 11,Same structure for UMAP.
mnist,error_mnist_pacmap.rds,94 x 11,Same structure for PaCMAP.
mnist,error_mnist_phate.rds,103 x 11,Same structure for PHATE.
mnist,error_mnist_trimap.rds,119 x 11,Same structure for TriMAP.
mnist,mnist_img_error_inside.rds,3920 x 6,Pixel data (long format) for 5 representative digit-1 images sampled from the low-error (inside) region of the t-SNE embedding. Columns: Label instance pixel value x y.
mnist,mnist_img_error_outside.rds,3920 x 6,Same structure for 5 images sampled from the high-error (outside/periphery) region.
mnist,mnist_img_middle.rds,3920 x 6,Same structure for 5 images sampled from the middle region of the embedding.
mnist,mnist_img_right_bottom.rds,3920 x 6,Same structure for 5 images from the bottom-right region of the embedding.
mnist,mnist_img_right_top.rds,3920 x 6,Same structure for 5 images from the top-right region of the embedding.
mnist,mnist_proj_obj1.rds,list(5),Projection object for grand tour visualisation of the lifted t-SNE model on MNIST. Contains projected data (7877 obs) model hexbin data (1696 obs) 3-axis tour basis unit circle and cluster labels.
mnist,mnist_proj_obj2.rds,list(5),Same structure as above with an alternative tour basis for a second grand tour view.
mnist,nldr_eval_metrics.rds,6 x 6,Summary table of standard NLDR evaluation metrics for all 6 methods. Columns: Method GS RTA AUC(R_NX) r RGS.
mnist,RNX_curves.rds,17250 x 3,R_NX curve data for all 6 methods across neighbourhood sizes K. Columns: K R_NX method.
mnist,shepard_all.rds,30000 x 3,Shepard diagram data comparing pairwise distances in the original 10D space (dX) to distances in the 2D embedding (dY) for all methods. 5000 random pairs per method x 6 methods.
one_c_shaped_dens_structure,one_c_shaped_dens_data.rds,1000 x 4,"Simulated 4D dataset with a C-shaped structure and non-uniform (varying) point density. Columns: x1-x4. Note: x4 = -x3 so the intrinsic structure is effectively 3-dimensional."
one_c_shaped_dens_structure,one_c_shaped_uni_dens_data.rds,1000 x 4,Matching 4D dataset with the same C-shaped structure but uniform point density. Used as a comparison baseline. Columns: x1-x4.
one_c_shaped_dens_structure,one_c_shaped_dens_structure_tsne_perplexity_15.rds,1000 x 2,t-SNE embedding (perplexity 15) of the non-uniform density C-shape. Columns: tSNE1 tSNE2.
one_c_shaped_dens_structure,one_c_shaped_dens_structure_tsne_perplexity_30.rds,1000 x 2,t-SNE embedding (perplexity 30) of the non-uniform density C-shape.
one_c_shaped_dens_structure,one_c_shaped_dens_structure_tsne_perplexity_42.rds,1000 x 2,t-SNE embedding (perplexity 42) of the non-uniform density C-shape.
one_c_shaped_dens_structure,one_c_shaped_dens_structure_tsne_perplexity_52.rds,1000 x 2,t-SNE embedding (perplexity 52) of the non-uniform density C-shape. Columns named emb1 emb2.
one_c_shaped_dens_structure,one_c_shaped_dens_structure_umap_n-neigbors_15_min-dist_0.1.rds,1000 x 2,UMAP embedding (n_neighbors=15 min_dist=0.1). Columns: UMAP1 UMAP2.
one_c_shaped_dens_structure,one_c_shaped_dens_structure_pacmap_n-neighbors_10_init_random_MN-ratio_0.5_FP-ratio_2.rds,1000 x 2,PaCMAP embedding (n_neighbors=10 random init MN-ratio=0.5 FP-ratio=2). Columns: PaCMAP1 PaCMAP2.
one_c_shaped_dens_structure,one_c_shaped_dens_structure_phate_knn_5.rds,1000 x 2,PHATE embedding (k=5 nearest neighbours). Columns: PHATE1 PHATE2.
one_c_shaped_dens_structure,one_c_shaped_dens_structure_trimap_n-inliers_12_n-outliers_4_n-random_3.rds,1000 x 2,TriMAP embedding (n_inliers=12 n_outliers=4 n_random=3). Columns: TriMAP1 TriMAP2.
one_c_shaped_dens_structure,one_c_shaped_uni_dens_structure_tsne_perplexity_15.rds,1000 x 2,t-SNE embedding (perplexity 15) of the uniform-density C-shape.
one_c_shaped_dens_structure,one_c_shaped_uni_dens_structure_tsne_perplexity_30.rds,1000 x 2,t-SNE embedding (perplexity 30) of the uniform-density C-shape.
one_c_shaped_dens_structure,one_c_shaped_uni_dens_structure_tsne_perplexity_42.rds,1000 x 2,t-SNE embedding (perplexity 42) of the uniform-density C-shape.
one_c_shaped_dens_structure,one_c_shaped_uni_dens_structure_tsne_perplexity_52.rds,1000 x 2,t-SNE embedding (perplexity 52) of the uniform-density C-shape. Columns named emb1 emb2.
one_c_shaped_dens_structure,error_df_one_curvy_abs_deselected11.rds,914 x 26,"Per-point error data for the low-error (deselected) points under threshold 1. Contains original 4D coordinates lifted model predictions per-dimension squared and absolute errors row-wise totals scaled 2D coordinates local density and error category labels (error_cat_n error_cat_n2)."
one_c_shaped_dens_structure,error_df_one_curvy_abs_selected11.rds,86 x 26,Per-point error data for the high-error (selected) points under threshold 1. These 86 points correspond to the region where the embedding poorly represents the original data.
one_c_shaped_dens_structure,error_df_one_curvy_abs_deselected12.rds,938 x 26,Per-point error data for the low-error (deselected) points under threshold 2.
one_c_shaped_dens_structure,error_df_one_curvy_abs_selected12.rds,62 x 26,Per-point error data for the high-error (selected) points under threshold 2. These 62 points represent a stricter selection of the worst-fit region.
one_c_shaped_dens_structure,projected_df1.rds,1000 x 4,"2D tour projection of all 1000 points for tour view 1. Columns: proj1 proj2 ID cluster (factor: selected/deselected under threshold 1)."
one_c_shaped_dens_structure,projected_df2.rds,1000 x 4,Same tour projection with cluster labels reflecting threshold 2 selections.
one_c_shaped_dens_structure,model_df1.rds,435 x 12,"Hexbin-to-hexbin transition edge data for the lifted model in tour view 1. Includes 2D embedding coordinates (x_from y_from x_to y_to) bin counts and projected tour-space coordinates."
one_c_shaped_dens_structure,model_df2.rds,435 x 12,Same edge structure for tour view 2 with a different tour basis.
one_c_shaped_dens_structure,axes1.rds,3 x 5,Tour axis vectors for the first grand tour view. Defines 3 projection axes with start/end coordinates and distances.
one_c_shaped_dens_structure,axes2.rds,3 x 5,Tour axis vectors for the second grand tour view.
one_c_shaped_dens_structure,circle1.rds,50 x 2,Unit circle coordinates for overlaying on the first grand tour biplot.
one_c_shaped_dens_structure,circle2.rds,50 x 2,Unit circle coordinates for the second grand tour biplot.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_data.rds,2000 x 7,Full simulated dataset with two differently-shaped nonlinear clusters. 7 numeric features (x1-x7); no ID or cluster column.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_data_stats.rds,1 x 14,Per-variable summary statistics (mean and SD) for all 7 features of the full dataset. Used for standardisation.
two_nonlinear,training_two_non_linear_diff_shaped_close_clusters.rds,1400 x 8,Training split (70%) with x1-x7 and ID.
two_nonlinear,test_two_non_linear_diff_shaped_close_clusters.rds,600 x 8,Test split (30%) with x1-x7 and ID.
two_nonlinear,testing_two_non_linear_diff_shaped_close_clusters.rds,600 x 9,Test split with an additional cluster label column (cluster1/cluster2).
two_nonlinear,2NC7_tr.rds,1400 x 8,Training split of a secondary 7D two-nonlinear-cluster dataset (alternative ID set). Columns: x1-x7 ID.
two_nonlinear,2NC7_ts.rds,600 x 8,Test split of the secondary dataset.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_true_model.rds,600 x 7,Known ground-truth manifold of the two clusters (analytically defined) in 7D space. Used as a reference to compare against fitted NLDR models.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_true_model_connections.rds,1475 x 2,Edge list connecting adjacent points on the true model manifold (from to). Used to draw the wireframe of the true model in grand tour views.
two_nonlinear,df_true_model_data_two_curvy_filtered.rds,2600 x 8,Expanded true model points in 7D with a type column (true model). Used for overlaying the true manifold on scatter plots.
two_nonlinear,df_model_data_two_curvy_filtered.rds,2209 x 8,Fitted hexbin model points lifted back into 7D with a type column (model). Counterpart to the true model for visual comparison.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_tsne_perplexity_47.rds,2000 x 2,t-SNE embedding (perplexity 47). Columns: tSNE1 tSNE2.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_tsne_perplexity_62.rds,2000 x 2,t-SNE embedding (perplexity 62).
two_nonlinear,two_non_linear_diff_shaped_close_clusters_umap_n-neigbors_15_min-dist_0.1.rds,1400 x 3,UMAP embedding of the training split (n_neighbors=15 min_dist=0.1). Columns: UMAP1 UMAP2 ID.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_pacmap_n-neighbors_10_init_random_MN-ratio_0.5_FP-ratio_2.rds,2000 x 2,PaCMAP embedding of the full dataset (n_neighbors=10 random init MN-ratio=0.5 FP-ratio=2).
two_nonlinear,two_non_linear_diff_shaped_close_clusters_phate_knn_5.rds,2000 x 2,PHATE embedding (k=5 nearest neighbours).
two_nonlinear,two_non_linear_diff_shaped_close_clusters_trimap_n-inliers_12_n-outliers_4_n-random_3.rds,2000 x 2,TriMAP embedding (n_inliers=12 n_outliers=4 n_random=3).
two_nonlinear,tsne_two_curvy_scaled.rds,2000 x 3,t-SNE embedding (perplexity 47) rescaled to [0-1] for hexbin model fitting. Columns: emb1 emb2 ID.
two_nonlinear,UMAP-2NC7-tr.rds,1400 x 3,UMAP embedding of the secondary dataset training split (2NC7_tr). Columns: UMAP1 UMAP2 ID.
two_nonlinear,training_umap_two_non_linear_diff_shaped_close_clusters.rds,1400 x 4,UMAP embedding of the training split with cluster labels. Columns: UMAP1 UMAP2 ID cluster.
