PaCMAP2,PaCMAP1
8.485678,5.0305185
-5.7356467,-2.2150705
4.395309,4.0244584
5.5065866,2.1993973000000002
-4.131772,-1.181007
-6.240579,-2.0935464
-2.6107955,-3.2833009
8.3530445,4.572611
5.3159847,5.9579206
-8.04553,-5.2741847
3.5454364,1.8434255
6.4738784,1.6626697
4.8045764,0.97137874
8.672999,4.681487
-2.12065,1.7625902
3.4725273,5.407824
2.698235,1.7926817
-10.751342,-5.1777864
-1.9738364,-1.222426
-12.299712,-6.289926
0.060851786,1.3669713
-13.642945,-6.7236423
-1.7788293,1.6141905
7.583103,4.178591
3.1968358,-1.8151358
-10.614553,-5.1142077
1.3740969,2.7335086
8.367272,2.520497
7.49851,4.010909
3.2371547,-0.15830685
7.863997,0.97619003
-13.379943,-7.057838
-10.069058,-4.641374
-7.0523114,-2.5370865
9.567829,2.3102562
2.7630703,-1.6445308
-2.159701,1.6731278
-9.949941,-5.077394
-11.339015,-6.1506753
2.7887034,0.8252652
-13.667479,-7.034054
3.5282161,1.9229861
8.626695,2.5330303
-2.2495651,-3.0691056
4.3015213,5.7527337
3.0331993,4.794731
3.336187,2.4761395
4.2288556,5.3316894
2.6610358,3.395752
6.567443,1.9660838
-4.145544,-1.0550292
5.8738837,4.430351
0.66186565,3.023377
7.8824024,4.7877192
-11.780169,-5.969891
-3.980765,-1.8935097
0.44570512,2.2421846
-0.16774514,1.3368125
-2.4430854,1.3197657
-7.2235336,-4.1476493
2.745615,4.755551
1.668608,-0.06701536
9.650922,3.4307342
-0.41135228,0.49859995
0.7009867,1.7259907
8.079405,1.713955
-1.3879311,-2.5697122
-7.5569463,-4.4525805
-12.832504,-7.1890025
-0.14190485,3.0841632
-10.953106,-6.745145
-2.5389757,-3.160224
-4.30556,-1.5844867
3.7775156,5.0699477
-2.9113934,0.32720372
3.6836262,-1.7377133
-3.9811642,-1.2576654
0.54098916,3.708973
9.934068,2.9364262
3.843933,5.3804803
-7.6247435,-3.0461323
3.6394885,3.2190998
8.874708,2.2474272
2.8094823,-1.7574122
-9.610529,-6.31325
2.8463917,2.3487046
6.202958,1.9366487
-8.679216,-5.3409777
9.5999389999999991,2.1837633
6.859549,-0.25384706
4.7755837,1.3242687
6.5821013,1.0201154
-7.445999,-5.1581016
9.110653,1.789673
3.0386481,0.67878854
-10.420929,-4.915319
-13.366599,-6.3894143
3.7487538,-0.3358824
-8.832219,-6.1796446
-9.018283,-4.953899
0.90033656,-0.4325443
-0.8895549,0.31110498
-13.982951,-6.8804984
2.7940822,4.496003
-9.164985,-6.1272426
3.5916824,2.3931942
-10.650592,-5.3353763
-4.1366124,-1.4934208
-0.85909456,3.8841968
-6.809894,-2.5982559
8.42727,3.4026785
-12.189029,-6.3823423
5.4093943,4.324678
6.769861,0.34400085
4.883933,3.9297752
0.5427285,-0.020587774
-1.221256,0.24102034
3.1646929,4.34264
-1.1478065,-0.17743075
8.354655,0.960525
-9.297321,-5.783487
-7.481397,-4.7817616
1.5418053,0.029837731
7.736277,0.41052428
-13.605425,-6.947552
-4.7697329999999996,-2.8719642
7.176364,5.7252903
-3.591612,-0.7061712
3.947998,-1.6153013
3.3250213,2.4631398
2.3799205,-2.067374
8.374728,2.0097744
6.6322503,4.1244907
6.2914186,4.8415995
-1.3969662,-2.8940973
4.3548317,6.2688613
9.789363,3.0042865
-2.282297,-2.5649617
-6.9055552,-4.137457
2.9170768,3.2209406
-10.31923,-5.1017847
3.2538981,2.308067
2.8472767,2.1831543
-11.318392,-6.720506
-1.2390475,-1.4552354
-8.485491,-4.3904862
7.99827,5.227978
6.930661,4.6715307
4.6918693,4.0709085
2.928446,0.6050759
-6.887114,-4.6927495
3.1929052,0.79136443
7.1276197,2.9839592
-4.747817,-3.1318827
-1.1893235,0.2942843
0.031707466,2.115968
-1.3635498,2.9573724
6.45607,2.4201803
6.2143116,-0.5296345
7.5385804,2.5485048
7.485644,1.0420805
8.927843,1.7669687
6.6462736,5.89321
-5.5442977,-2.7376263
-0.6793699,-2.3567376
-6.0890875,-2.6443994
-0.08048412,4.04391
1.7872163,3.2456264
-12.3259735,-6.804763
4.199408,1.1672684
-10.063807,-6.2276583
