PaCMAP2,PaCMAP1
5.275291,14.465717
-10.433193,-14.2401285
4.504442,-10.115093
4.128612,-11.639873
1.1243255,-12.482827
0.937485,-5.862994
2.218464,-9.253319
5.219627,12.332859
-7.100666,-13.714731
5.205596,16.334888
2.3353133,-12.977982
-2.7801936,-2.5618083
1.7833173,15.980969
-9.414252,-15.892491
-4.3049655,-13.626112
-3.3715146,-1.9385775
2.2249591,-11.8071
0.9929011,6.83937
0.67687124,6.8545556
-3.2601721,-1.2470227
-4.0468526,-13.254104
-6.7515807,-14.097264
-1.5161405,-10.965048
-10.378782,-14.056996
-0.7247843,-9.428835
5.2445645,12.079025
1.0016987,6.6236033
6.189106,14.455728
2.0494068,-0.32595062
4.3210626,-10.229995
2.6196418,17.829777
-2.0422628,4.654334
1.0276816,12.223561
0.5851932,-2.3803532
1.3852847,5.905927
-5.1677155,-12.7437
2.6031556,17.841522
0.053561892,13.218794
1.551646,9.608293
2.630605,17.980875
0.94102186,-2.4726894
-8.428429,-12.10325
6.265713,13.264301
0.7769967,-8.558191
4.0370374,13.679123
4.1595907,-10.96819
0.3138547,5.489988
-6.719983,-13.99428
2.5179474,2.801087
3.6241288,8.204397
-0.9708693,8.02045
4.9148564,17.10015
1.8030392,0.094323255
2.4255817,3.789824
-2.933417,1.3782322
-8.128872,-12.375367
0.98380744,-8.028241
-3.0401483,-0.81030214
-0.006303633,6.045831
1.9977576,-0.45124745
3.6410716,8.666801
5.522216,9.612365
-1.1003855,7.597437
3.6339207,17.175426
-8.694418,-12.150635
2.414417,4.2052674
0.60952127,-1.8747175
0.26956305,4.92407
-0.9682106,-12.034023
-7.1999917,-14.861748
-2.0067909,2.9657574
-9.283329,-15.926788
1.5248911,10.256265
3.284838,17.930862
4.857842,7.9382443
-9.864866,-15.305441
2.5126421,6.033907
-0.26308152,-8.7647099999999991
2.2260063,-13.005436
1.9587483,-0.24244192
6.2352605,13.946717
2.5451844,-9.28986
-5.3516254,-13.215637
1.89594,6.943007
-1.9019917,-12.392093
-0.6695815,11.3572235
0.9423858,5.56795
4.271411,-10.723942
3.6581466,-9.741672
-8.009437,-12.023851
2.848962,17.756828
1.8851615,-2.966084
3.3400087,-12.329773
-0.8160857,10.952395
2.5175126,3.2674205
-10.069734,-14.69004
-9.576931,-13.682153
2.3064148,-9.374662
-3.0203645,1.2221289
-2.580867,-1.3003614
-1.5953461,-1.5848495
1.2976973,16.038877
-6.017449,-12.561209
-8.400901,-11.935242
3.9223273,8.6147995
2.005441,17.025854
4.374682,-11.094719
-4.235737,-14.2836685
-1.0942082,-11.818154
5.035293,17.121183
-5.5902224,-12.958649
2.575573,3.3116183
-1.6388845,-11.215618
1.6440688,-3.7665994
2.7789135,-11.759271
6.1118426,12.241031
0.9003216,4.5065365
0.64307886,-2.8532424
1.1501292,16.188185
-10.254952,-14.936154
-2.0748205,4.783565
-0.55961835,-8.949535
2.460858,4.025376
-8.046486,-13.088275
0.9695133,-10.668877
4.9189954,11.029851
-0.8871993,-10.53354
1.2578996,-7.809733
1.2237654,16.0217
3.2890167,-10.940953
4.0792017,13.675323
-4.219907,-13.36338
-0.057845425,9.474625
0.85354406,-1.1915923
4.672251,15.554602
1.7539334,-2.5146773
1.9892207,-12.726055
-1.8822517,4.4251494
-1.5485125,6.0215364
-2.2061512,-2.7916687
5.7870297,13.551313
-5.169754,-15.61754
5.4854755,9.086004
-0.9247929,7.6524906
-0.011736315,1.8111715
-0.5567238,11.306993
1.5173368,10.560969
2.7548895,17.879183
3.9298575,-10.087298
4.9878087,15.429614
2.7623923,13.232741
4.3427963,-11.027102
1.4138049,-4.843019
-0.8734464,4.212295
-3.2522783,-13.338227
0.82518005,1.5836024
2.3793738,-12.85264
-8.631683,-12.022959
4.436101,-9.743298
1.7568669,-2.995344
1.2636127,-5.4352
1.393889,2.305185
5.353051,12.679102
-2.036475,-2.1060874
-1.0507487,6.7958355
4.836624,8.040455
-6.931553,-16.732046
-2.355444,-1.3712687
-7.439149,-13.264692
-1.1459728,5.4888406
-3.0087235,-1.9951202
1.9430324,6.4690485
0.8555926,14.153222
-0.43467373,11.234564
6.182399,13.00181
5.960683,14.366844
-3.259228,-2.0672126
-0.65667325,10.368133
0.83527434,-12.055851
4.0457315,15.250434
-0.89524955,5.7421393
1.9064821,0.96663314
-1.3975192,1.5527217
-2.2940307,-2.9021838
0.6447855,14.12473
-0.98951876,7.891489
-1.2201284,-11.981136
2.6778975,17.871183
-1.5163025,1.5541413
1.5727832,-4.3487296
0.4916028,-8.407745
0.44967458,14.043618
0.97899806,-6.104853
-2.0384316,-2.1442642
2.7497993,12.27085
-0.09495501,4.4425344
-0.99211216,7.725863
-7.7250323,-16.114256
2.8416734,-12.68395
-8.061452,-16.176487
4.0925403,-9.611917
1.772957,-1.693336
1.2422607,16.019642
-0.70183796,11.080151
-10.053337,-14.908024
5.3318915,16.851067
0.86796993,5.3305817
-6.568503,-13.254381
1.157847,2.9518666
-0.7591703,11.240222
1.7077506,15.6638155
7.1277432,15.763416
2.2010152,1.279693
-2.5945287,-2.8041534
1.9928203,14.286385
3.8170831,9.489398
-7.363119,-16.611588
2.310445,17.654495
-1.354542,1.3215888
-1.1761072,-12.130258
-8.5210085,-15.982458
-1.7079604,-11.397657
0.7214241,-2.7010677
-1.3700786,-12.20069
7.036244,15.774364
6.3762197,13.471125
1.6616046,-9.472321
1.8120055,-0.36289728
-2.692416,0.16733563
-10.211812,-14.634268
6.341528,16.275278
0.99732745,14.277096
6.96745,15.479222
0.6466083,15.310946
-10.3282385,-13.91737
-8.703035,-12.437759
-1.5659,1.3802005
1.9244188,8.162317
1.1675876,-0.66006064
-2.5015633,-0.23809832
-7.1244817,-13.372145
-6.7269716,-12.231673
4.3001666,-10.522043
2.496146,9.414796
1.0780483,5.4580708
-0.96741474,7.341635
1.0865202,-6.15253
5.2654014,8.980974
4.7656875,11.275337
-2.1225445,3.637249
1.7026255,-3.167526
-8.73974,-12.032273
7.074825,15.7022085
4.1988664,7.7818217
-3.230306,-2.2922845
-7.2519445,-11.959201
6.424341,14.267202
-3.8165293,-13.740074
1.3356587,6.725179
4.5157685,-10.812482
0.25435334,13.920869
-2.122255,4.5783644
-7.3961444,-12.393723
-7.7832117,-16.619797
4.32235,-9.7766695
-0.4989442,6.4550347
-9.193111,-15.9783745
1.1633804,16.392113
0.42562404,5.1846604
2.3606138,4.2851663
3.7538855,13.226388
-5.629863,-12.993233
-0.7072014,-9.210716
-0.014683997,12.161357
1.6170216,-4.4641047
-0.5144354,-9.008204
-0.59094036,10.883152
0.6660443,-12.211359
-2.1644874,-2.6550715
1.4922011,-10.674704
-3.267945,-2.2703946
-2.8219612,1.747821
-10.057254,-14.641169
4.732584,10.714272
