TriMAP2,TriMAP1
-2.514568,19.114912
-44.46726,9.648311
40.487766,-39.368473
30.20589,-9.316192
26.292917,10.525146
33.436413,9.445369
-10.854559,-20.11485
33.567093,-10.265505
22.75798,10.84097
-48.934032,13.010641
-7.7184644,8.298977
-8.466556,8.950794
11.518552,-3.8632467
10.5217285,-1.7582841
-31.402084,-16.536827
29.356928,36.927338
-38.413467,-23.628914
15.314746,4.4254665
-3.8233,7.07866
-13.867258,-33.655796
27.511187,33.022995
-43.101013,-27.345898
-18.61591,-10.046478
-1.9669982,33.50643
-15.479994,-4.116462
29.170498,-32.038445
11.57519,-4.1214094
21.154253,22.175537
11.766012,-5.757045
15.439953,-19.220478
-3.596603,3.9801314
-2.0033402,27.547974
-4.226882,5.836156
6.359503,8.322257
-41.71261,-26.55561
0.6012112,4.860177
-1.3532356,34.692738
-19.163143,-9.0020685
-39.28435,-24.402435
-22.274757,1.1373216
-3.5991552,6.5676365
-23.906828,1.7121747
-42.862988,-27.195719
-18.781456,-9.841693
11.265595,11.388261
-42.798355,-27.133228
-10.558122,-12.506769
-6.503344,2.0042033
-1.7359284,33.273952
22.011679,11.136839
-28.006989,-13.854823
-3.6736403,8.924476
-42.030678,-26.629553
-10.374034,-14.29836
15.556816,4.9317265
15.979343,-20.149168
-49.29475,13.512312
15.544238,4.6623273
-31.359173,4.387644
19.165073,-6.0302258
-6.13037,6.9214983
-22.149153,37.926006
40.325985,-39.339813
-2.6960316,17.060915
-45.73538,10.737018
-29.498852,-15.025837
-38.259743,6.865572
1.9997946,5.7751493
-13.899723,16.410044
26.147158,31.219282
-2.5511944,19.015785
-13.897601,-33.8306
-14.987886,-36.844585
-1.7048196,33.318935
-13.447918,-30.845224
16.706816,7.2854023
29.771713,38.062485
27.852262,-32.181828
-19.200165,28.698921
-22.0638,37.912025
31.267412,-9.665949
18.753433,-5.8708754
-8.548781,0.019684013
-2.2854216,23.9734
14.815907,-4.936575
-11.842448,-5.458647
-15.080029,-37.050323
-19.035223,28.705168
-33.096962,-18.136368
-17.934149,25.30267
-14.919432,-36.501915
-16.949852,23.138556
18.884083,-24.082718
-39.86832,-24.918072
-12.168936,-27.226185
17.211355,-21.931618
-42.918846,-27.25406
-13.472791,-3.3615358
-19.598497,29.69277
27.56867,33.21552
-21.908916,39.52473
19.81255,11.502331999999999
-16.670782,22.302698
-3.3316648,7.7925386
-39.23975,7.3312984
25.199291,29.728102
-2.6859803,16.77365
-3.1849186,11.562111
-24.677618,1.9138691
11.464216,-1.1865137
-2.3831275,19.583872
-17.278008,-1.5027359
4.569478,7.1707373
26.944365,-8.401462
-13.613636,-32.56209
-11.29757,-22.424192
40.88431,-39.47656
-13.7912245,-32.97604
-21.907665,39.453495
-10.8928795,-8.106458
5.9126625,8.118476
-14.696535,-36.18114
29.289051,10.184496
-16.004774,20.615963
27.898876,10.256113
12.264723,-11.918048
6.1890407,-0.8102945
-22.818953,-10.345194
20.836243,21.461092
23.254091,26.325779
17.692,10.90191
-40.704426,-25.645239
15.525906,-19.389988
-20.42456,31.94709
-1.1042004,35.305176
20.907295,21.447956
