Figure,NLDR method,Hyper-parameter(s),Note
"$1$a, $8$a, $9$a1, SM$10$ $3$a",UMAP,"n\_neighbors = 30, min\_dist = 0.3",published
"$1$b, $8$b, SM$10$ $3$b",UMAP,"n\_neighbors = 5, min\_dist = 0.8",structurally dissimilar
"$1$c, $8$c, SM$10$ $3$c",UMAP,"n\_neighbors = 5, min\_dist = 0.01",structurally dissimilar
"$1$d, $8$d, SM$10$ $3$d",tSNE,perplexity = 5,structurally dissimilar
"$1$e, $8$e, $9$e1, SM$10$ $3$e",tSNE,perplexity = 30,default
"$1$f, $8$f, SM$10$ $3$f",PHATE,knn = 5,default
"$1$g, $8$g, SM$10$ $3$g",TriMAP,"n\_inliers = 12, n\_outliers = 4, n\_random = 3",default
"$1$h, $8$h, SM$10$ $3$f",PaCMAP,"n\_neighbors = 30, init = random, MN\_ratio = 0.9, FP\_ratio = 5",structurally dissimilar
"$2$a, $2$b, $4$a, $5$b, $6$a, $7$c, SM$7$ $1$a-c, and SM$10$ $1$a",tSNE,perplexity = 47,high-d informed
"$6$b, $7$a, $7$b, and SM$10$ $1$b",UMAP,"n\_neighbors = 15, min\_dist = 0.1",default
"$6$c, $7$d, and SM$10$ $1$c",PHATE,knn = 5,default
"$6$d, $7$e, and SM$10$ $1$d",TriMAP,"n\_inliers = 12, n\_outliers = 4, n\_random = 3",default
"$6$e, $7$f, and SM$10$ $1$e",PaCMAP,"n\_neighbors = 10, init = random, MN\_ratio = 0.5, FP\_ratio = 2",default
"$6$f, SM$10$ $1$f",tSNE,perplexity = 62,structurally dissimilar
"$10$a, $11$a, $12$a, and SM$10$ $4$a",tSNE,perplexity = 30,default
"$10$b, SM$10$ $4$b",tSNE,perplexity = 89,structurally dissimilar
"$10$c, SM$10$ $4$c",UMAP,"n\_neighbors = 15, min\_dist = 0.1",default
"$10$d, SM$10$ $4$d",PHATE,knn = 5,default
"$10$e, SM$10$ $4$e",TriMAP,"n\_inliers = 12, n\_outliers = 4, n\_random = 3",default
"$10$f, SM$10$ $4$f",PaCMAP,"n\_neighbors = 10, init = random, MN\_ratio = 0.5, FP\_ratio = 2",default
SM$8$  $1$a$1$,tSNE,perplexity = 71,structurally dissimilar
SM$8$  $1$b$1$,UMAP,"n\_neighbors = 15, min\_dist = 0.1",default
SM$8$  $1$c$1$,PaCMAP,"n\_neighbors = 10, init = random, MN\_ratio = 0.5, FP\_ratio = 2",default
"SM$8$  $2$a$2$, $2$b$2$",tSNE,perplexity = 52,structurally dissimilar
"SM$9$  $1$a,  $2$a$1$",UMAP,"n\_neighbors = 30, min\_dist = 0.3",high-d informed
"SM$9$  $1$b,  $2$b$1$",tSNE,perplexity = 30,default
