Figure ,URL,Description
$4$,,\text{\parbox{9cm}{Langevitour animation of the true model\\overlaying two non-linear clusters data.}}
$4$,,\text{\parbox{9cm}{Langevitour animation of the model with tSNE\\overlaying two non-linear clusters data.}}
$9$,\href{https://youtu.be/I-kxCwVfqiQ}{\texttt{youtu.be/I-kxCwVfqiQ}},\text{\parbox{9cm}{Langevitour animation of the model with tSNE\\overlaying Five Gaussian clusters data.}}
$9$,\href{https://youtu.be/gD1P01FUPyU}{\texttt{youtu.be/gD1P01FUPyU}},\text{\parbox{9cm}{Langevitour animation of the model with UMAP\\overlaying Five Gaussian clusters data.}}
$9$,\href{https://youtu.be/MxJ_srOFQNk}{\texttt{youtu.be/MxJ\_srOFQNk}},\text{\parbox{9cm}{Langevitour animation of the model with\\PaCMAP overlaying Five Gaussian clusters data.}}
$10$,,\text{\parbox{9cm}{Linked plots of tSNE layout and langevitour\\animation of the model overlaid on C-shaped data.}}
$12$,\href{https://youtu.be/3VfK3M2gnZM}{\texttt{youtu.be/3VfK3M2gnZM}},\text{\parbox{9cm}{Langevitour animation of the model with layout a\\overlaying Five Gaussian clusters data.}}
$12$,\href{https://youtu.be/Es84bwQcndU}{\texttt{youtu.be/Es84bwQcndU}},\text{\parbox{9cm}{Langevitour animation of the model with layout e\\overlaying Five Gaussian clusters data.}}
$14$,\href{https://youtu.be/sUcGd57Swdg}{\texttt{youtu.be/sUcGd57Swdg}},\text{\parbox{9cm}{Langevitour animation of the model with tSNE\\overlaying MNIST digit 1 data.}}
$14$,,\text{\parbox{9cm}{Linked plots of tSNE layout and langevitour\\animation of the model overlaid on MNIST digit 1 data.}}
